"Mã hợp đồng","Tên hợp đồng","Mã hàng hoá","KL chào mua","Giá chào mua","KL đang chờ khớp mua","Giá chào bán","KL chào bán","KL chờ khớp bán","Giá khớp","KL khớp","Thay đổi","Thay đổi (%)","Giá mở cửa","Giá cao nhất","Giá thấp nhất","Giá đóng cửa","Giá đóng cửa phiên trước","Giá thanh toán","Bước giá tối thiểu","Giá hợp đồng","KL giao dịch","Ngày giờ cập nhật gần nhất"
"LRCS1H26","Cà phê Robusta Spread 1 3/26","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1H27","Cà phê Robusta Spread 1 3/27","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1K23","Cà phê Robusta Spread 1 5/23","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1K24","Cà phê Robusta Spread 1 5/24","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1K25","Cà phê Robusta Spread 1 5/25","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1K26","Cà phê Robusta Spread 1 5/26","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1N23","Cà phê Robusta Spread 1 7/23","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1N24","Cà phê Robusta Spread 1 7/24","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1N25","Cà phê Robusta Spread 1 7/25","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1N26","Cà phê Robusta Spread 1 7/26","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1U23","Cà phê Robusta Spread 1 9/23","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1U24","Cà phê Robusta Spread 1 9/24","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1U25","Cà phê Robusta Spread 1 9/25","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1U26","Cà phê Robusta Spread 1 9/26","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1X22","Cà phê Robusta Spread 1 11/22","LRCS1","","","","","","","2.0","","","","","","","","","2.0","","","",""
"LRCS1X23","Cà phê Robusta Spread 1 11/23","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1X24","Cà phê Robusta Spread 1 11/24","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1X25","Cà phê Robusta Spread 1 11/25","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS1X26","Cà phê Robusta Spread 1 11/26","LRCS1","","","","","","","","","","","","","","","","","","","",""
"LRCS2F23","Cà phê Robusta Spread 2 1/23","LRCS2","","","","","","","7.0","","","","","","","","","7.0","","","",""
"LRCS2F24","Cà phê Robusta Spread 2 1/24","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2F25","Cà phê Robusta Spread 2 1/25","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2F26","Cà phê Robusta Spread 2 1/26","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2F27","Cà phê Robusta Spread 2 1/27","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2H23","Cà phê Robusta Spread 2 3/23","LRCS2","","","","","","","7.0","","","","","","","","","7.0","","","",""
"LRCS2H24","Cà phê Robusta Spread 2 3/24","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2H25","Cà phê Robusta Spread 2 3/25","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2H26","Cà phê Robusta Spread 2 3/26","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2K23","Cà phê Robusta Spread 2 5/23","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2K24","Cà phê Robusta Spread 2 5/24","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2K25","Cà phê Robusta Spread 2 5/25","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2K26","Cà phê Robusta Spread 2 5/26","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2N23","Cà phê Robusta Spread 2 7/23","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2N24","Cà phê Robusta Spread 2 7/24","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2N25","Cà phê Robusta Spread 2 7/25","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2N26","Cà phê Robusta Spread 2 7/26","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2U23","Cà phê Robusta Spread 2 9/23","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2U24","Cà phê Robusta Spread 2 9/24","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2U25","Cà phê Robusta Spread 2 9/25","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2U26","Cà phê Robusta Spread 2 9/26","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2X22","Cà phê Robusta Spread 2 11/22","LRCS2","","","","","","","5.0","","","","","","","","","5.0","","","",""
"LRCS2X23","Cà phê Robusta Spread 2 11/23","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2X24","Cà phê Robusta Spread 2 11/24","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2X25","Cà phê Robusta Spread 2 11/25","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS2X26","Cà phê Robusta Spread 2 11/26","LRCS2","","","","","","","","","","","","","","","","","","","",""
"LRCS3F23","Cà phê Robusta Spread 3 1/23","LRCS3","","","","","","","10.0","","","","","","","","","10.0","","","",""
"LRCS3F24","Cà phê Robusta Spread 3 1/24","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3F25","Cà phê Robusta Spread 3 1/25","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3F26","Cà phê Robusta Spread 3 1/26","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3H23","Cà phê Robusta Spread 3 3/23","LRCS3","","","","","","","11.0","","","","","","","","","11.0","","","",""
"LRCS3H24","Cà phê Robusta Spread 3 3/24","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3H25","Cà phê Robusta Spread 3 3/25","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3H26","Cà phê Robusta Spread 3 3/26","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3K23","Cà phê Robusta Spread 3 5/23","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3K24","Cà phê Robusta Spread 3 5/24","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3K25","Cà phê Robusta Spread 3 5/25","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3K26","Cà phê Robusta Spread 3 5/26","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3N23","Cà phê Robusta Spread 3 7/23","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3N24","Cà phê Robusta Spread 3 7/24","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3N25","Cà phê Robusta Spread 3 7/25","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3N26","Cà phê Robusta Spread 3 7/26","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3U23","Cà phê Robusta Spread 3 9/23","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3U24","Cà phê Robusta Spread 3 9/24","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3U25","Cà phê Robusta Spread 3 9/25","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3U26","Cà phê Robusta Spread 3 9/26","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3X22","Cà phê Robusta Spread 3 11/22","LRCS3","","","","","","","9.0","","","","","","","","","9.0","","","",""
"LRCS3X23","Cà phê Robusta Spread 3 11/23","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3X24","Cà phê Robusta Spread 3 11/24","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3X25","Cà phê Robusta Spread 3 11/25","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS3X26","Cà phê Robusta Spread 3 11/26","LRCS3","","","","","","","","","","","","","","","","","","","",""
"LRCS4F23","Cà phê Robusta Spread 4 1/23","LRCS4","","","","","","","14.0","","","","","","","","","14.0","","","",""
"LRCS4F24","Cà phê Robusta Spread 4 1/24","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4F25","Cà phê Robusta Spread 4 1/25","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4F26","Cà phê Robusta Spread 4 1/26","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4H23","Cà phê Robusta Spread 4 3/23","LRCS4","","","","","","","9.0","","","","","","","","","9.0","","","",""
"LRCS4H24","Cà phê Robusta Spread 4 3/24","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4H25","Cà phê Robusta Spread 4 3/25","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4H26","Cà phê Robusta Spread 4 3/26","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4K23","Cà phê Robusta Spread 4 5/23","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4K24","Cà phê Robusta Spread 4 5/24","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4K25","Cà phê Robusta Spread 4 5/25","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4K26","Cà phê Robusta Spread 4 5/26","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4N23","Cà phê Robusta Spread 4 7/23","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4N24","Cà phê Robusta Spread 4 7/24","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4N25","Cà phê Robusta Spread 4 7/25","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4N26","Cà phê Robusta Spread 4 7/26","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4U23","Cà phê Robusta Spread 4 9/23","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4U25","Cà phê Robusta Spread 4 9/25","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4U26","Cà phê Robusta Spread 4 9/26","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4X22","Cà phê Robusta Spread 4 11/22","LRCS4","","","","","","","12.0","","","","","","","","","12.0","","","",""
"LRCS4X23","Cà phê Robusta Spread 4 11/23","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4X24","Cà phê Robusta Spread 4 11/24","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS4X25","Cà phê Robusta Spread 4 11/25","LRCS4","","","","","","","","","","","","","","","","","","","",""
"LRCS5F23","Cà phê Robusta Spread 5 1/23","LRCS5","","","","","","","12.0","","","","","","","","","12.0","","","",""
"LRCS5F24","Cà phê Robusta Spread 5 1/24","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5F25","Cà phê Robusta Spread 5 1/25","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5F26","Cà phê Robusta Spread 5 1/26","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5H23","Cà phê Robusta Spread 5 3/23","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5H24","Cà phê Robusta Spread 5 3/24","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5H26","Cà phê Robusta Spread 5 3/26","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5K23","Cà phê Robusta Spread 5 5/23","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5K24","Cà phê Robusta Spread 5 5/24","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5K25","Cà phê Robusta Spread 5 5/25","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5K26","Cà phê Robusta Spread 5 5/26","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5N23","Cà phê Robusta Spread 5 7/23","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5N25","Cà phê Robusta Spread 5 7/25","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5N26","Cà phê Robusta Spread 5 7/26","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5U23","Cà phê Robusta Spread 5 9/23","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5U25","Cà phê Robusta Spread 5 9/25","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5X22","Cà phê Robusta Spread 5 11/22","LRCS5","","","","","","","16.0","","","","","","","","","16.0","","","",""
"LRCS5X23","Cà phê Robusta Spread 5 11/23","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCS5X24","Cà phê Robusta Spread 5 11/24","LRCS5","","","","","","","","","","","","","","","","","","","",""
"LRCU23","Cà phê Robusta 9/23","LRC","","","","","","","2596.0","","","","","","","","","2596.0","","","",""
"LRCU24","Cà phê Robusta 9/24","LRC","","","","","","","5370.0","","","","","","","","","5370.0","","","",""
"LRCU25","Cà phê Robusta 9/25","LRC","","","","","","","4382.0","","","","","","","","","4382.0","","","",""
"LRCU26","Cà phê Robusta 9/26","LRC","","","","","","","4044.0","","","","","","","","","4044.0","","","",""
"LRCX22","Cà phê Robusta 11/22","LRC","","","","","","","1816.0","","","","","","","","","1816.0","","","",""
"LRCX23","Cà phê Robusta 11/23","LRC","","","","","","","2651.0","","","","","","","","","2651.0","","","",""
"LRCX24","Cà phê Robusta 11/24","LRC","","","","","","","4985.0","","","","","","","","","4985.0","","","",""
"LRCX25","Cà phê Robusta 11/25","LRC","","","","","","","4521.0","","","","","","","","","4521.0","","","",""
"LRCX26","Cà phê Robusta 11/26","LRC","","","","","","","4007.0","","","","","","","","","4007.0","","","",""
"LTIZ","Thiếc LME","LTIZ","","","","","","","53185.0","","","","","","","","","53065.0","","","",""
"LZHZ","Kẽm LME","LZHZ","","","","","","","3580.5","","","","","","","","","3591.0","","","",""
"MCLEF23","Dầu WTI micro 1/23","MCLE","","","","","","","75.19","","","","","","","","","75.19","0.01","","",""
"MCLEF24","Dầu WTI micro 1/24","MCLE","","","","","","","72.47","","","","","","","","","72.47","0.01","","",""
"MCLEF25","Dầu WTI micro 1/25","MCLE","","","","","","","70.58","","","","","","","","","70.58","","","",""
"MCLEF26","Dầu WTI micro 1/26","MCLE","","","","","","","56.15","","","","","","","","","56.15","","","",""
"MCLEF27","Dầu WTI micro 1/27","MCLE","","","","","","","68.34","","","","","","","","","68.34","","","",""
"MCLEG23","Dầu WTI micro 2/23","MCLE","","","","","","","80.33","","","","","","","","","80.33","","","",""
"MCLEG24","Dầu WTI micro 2/24","MCLE","","","","","","","73.51","","","","","","","","","73.41","0.01","","",""
"MCLEG25","Dầu WTI micro 2/25","MCLE","","","","","","","77.94","","","","","","","","","77.88","","","",""
"MCLEG26","Dầu WTI micro 2/26","MCLE","","","","","","","59.43","","","","","","","","","59.44","","","",""
"MCLEG27","Dầu WTI micro 2/27","MCLE","","","","","","","68.3","","","","","","","","","68.2","","","",""
"MCLEH23","Dầu WTI micro 3/23","MCLE","","","","","","","76.43","","","","","","","","","76.34","0.01","","",""
"MCLEH24","Dầu WTI micro 3/24","MCLE","","","","","","","79.38","","","","","","","","","79.19","0.01","","",""
"MCLEH25","Dầu WTI micro 3/25","MCLE","","","","","","","72.25","","","","","","","","","72.25","","","",""
"MCLEH26","Dầu WTI micro 3/26","MCLE","","","","","","","66.43","","","","","","","","","66.43","","","",""
"MCLEH27","Dầu WTI micro 3/27","MCLE","","","","","","","68.04","","","","","","","","","68.04","","","",""
"MCLEJ23","Dầu WTI micro 4/23","MCLE","","","","","","","67.64","","","","","","","","","67.64","","","",""
"MCLEJ24","Dầu WTI micro 4/24","MCLE","","","","","","","83.47","","","","","","","","","83.47","","","",""
"MCLEJ25","Dầu WTI micro 4/25","MCLE","","","","","","","67.16","","","","","","","","","67.16","","","",""
"MCLEJ26","Dầu WTI micro 4/26","MCLE","","","","","","","96.14","","","","","","","","","96.14","","","",""
"MCLEJ27","Dầu WTI micro 4/27","MCLE","","","","","","","67.89","","","","","","","","","67.89","","","",""
"MCLEK23","Dầu WTI micro 5/23","MCLE","","","","","","","79.01","","","","","","","","","79.16","0.01","","",""
"MCLEK24","Dầu WTI micro 5/24","MCLE","","","","","","","83.14","","","","","","","","","83.14","","","",""
"MCLEK25","Dầu WTI micro 5/25","MCLE","","","","","","","63.08","","","","","","","","","63.08","","","",""
"MCLEK26","Dầu WTI micro 5/26","MCLE","","","","","","","89.61","","","","","","","","","89.61","","","",""
"MCLEK27","Dầu WTI micro 5/27","MCLE","","","","","","","67.75","","","","","","","","","67.75","","","",""
"MCLEM23","Dầu WTI micro 6/23","MCLE","","","","","","","71.6","","","","","","","","","71.55","","","",""
"MCLEM24","Dầu WTI micro 6/24","MCLE","","","","","","","79.8","","","","","","","","","79.8","","","",""
"MCLEM25","Dầu WTI micro 6/25","MCLE","","","","","","","62.69","","","","","","","","","62.69","0.01","","",""
"MCLEM26","Dầu WTI micro 6/26","MCLE","","","","","","","108.66","","","","","","","","","108.66","","","",""
"MCLEM27","Dầu WTI micro 6/27","MCLE","","","","","","","67.59","","","","","","","","","67.59","","","",""
"MCLEN23","Dầu WTI micro 7/23","MCLE","","","","","","","71.84","","","","","","","","","71.78","0.01","","",""
"MCLEN24","Dầu WTI micro 7/24","MCLE","","","","","","","81.57","","","","","","","","","81.57","","","",""
"MCLEN25","Dầu WTI micro 7/25","MCLE","","","","","","","75.14","","","","","","","","","75.14","0.01","","",""
"MCLEN26","Dầu WTI micro 7/26","MCLE","","","","","","","76.6","","","","","","","","","76.6","","","",""
"MCLEN27","Dầu WTI micro 7/27","MCLE","","","","","","","67.45","","","","","","","","","67.45","","","",""
"MCLEQ23","Dầu WTI micro 8/23","MCLE","","","","","","","75.35","","","","","","","","","75.35","","","",""
"MCLEQ24","Dầu WTI micro 8/24","MCLE","","","","","","","79.97","","","","","","","","","80.13","","","",""
"MCLEQ25","Dầu WTI micro 8/25","MCLE","","","","","","","67.2","","","","","","","","","67.2","","","",""
"MCLEQ26","Dầu WTI micro 8/26","MCLE","","","","","","","69.35","","","","","","","","","68.55","","","",""
"MCLEU23","Dầu WTI micro 9/23","MCLE","","","","","","","80.72","","","","","","","","","80.72","","","",""
"MCLEU24","Dầu WTI micro 9/24","MCLE","","","","","","","74.37","","","","","","","","","74.37","","","",""
"MCLEU25","Dầu WTI micro 9/25","MCLE","","","","","","","62.35","","","","","","","","","62.35","","","",""
"MCLEU26","Dầu WTI micro 9/26","MCLE","","","","","","","69.34","","","","","","","","","68.56","","","",""
"MCLEV23","Dầu WTI micro 10/23","MCLE","","","","","","","91.2","","","","","","","","","91.2","","","",""
"MCLEV24","Dầu WTI micro 10/24","MCLE","","","","","","","71.95","","","","","","","","","71.95","0.01","","",""
"MCLEV25","Dầu WTI micro 10/25","MCLE","","","","","","","62.75","","","","","","","","","62.68","","","",""
"MCLEV26","Dầu WTI micro 10/26","MCLE","","","","","","","69.4","","","","","","","","","68.53","","","",""
"MCLEX23","Dầu WTI micro 11/23","MCLE","","","","","","","89.37","","","","","","","","","89.37","","","",""
"MCLEX24","Dầu WTI micro 11/24","MCLE","","","","","","","70.56","","","","","","","","","70.56","","","",""
"MCLEX25","Dầu WTI micro 11/25","MCLE","","","","","","","57.22","","","","","","","","","57.52","","","",""
"MCLEX26","Dầu WTI micro 11/26","MCLE","","","","","","","69.14","","","","","","","","","68.49","","","",""
"MCLEZ22","Dầu WTI micro 12/22","MCLE","","","","","","","80.17","","","","","","","","","80.08","0.01","","",""
"MCLEZ23","Dầu WTI micro 12/23","MCLE","","","","","","","75.7","","","","","","","","","75.89","0.01","","",""
"MCLEZ24","Dầu WTI micro 12/24","MCLE","","","","","","","69.39","","","","","","","","","69.39","0.01","","",""
"MCLEZ25","Dầu WTI micro 12/25","MCLE","","","","","","","59.44","","","","","","","","","59.44","","","",""
"MCLEZ26","Dầu WTI micro 12/26","MCLE","","","","","","","69.18","","","","","","","","","68.43","","","",""
"MHGF23","Đồng micro 1/23","MHG","","","","","","","3.839","","","","","","","","","3.839","","","",""
"MHGF24","Đồng micro 1/24","MHG","","","","","","","3.949","","","","","","","","","3.949","","","",""
"MHGF25","Đồng micro 1/25","MHG","","","","","","","4.066","","","","","","","","","4.073","","","",""
"MHGF26","Đồng micro 1/26","MHG","","","","","","","5.508","","","","","","","","","5.508","","","",""
"MHGF27","Đồng micro 1/27","MHG","","","","","","","6.349","","","","","","","","","6.349","","","",""
"MHGG23","Đồng micro 2/23","MHG","","","","","","","4.1895","","","","","","","","","4.2215","","","",""
"MHGG24","Đồng micro 2/24","MHG","","","","","","","3.874","","","","","","","","","3.874","","","",""
"MHGG25","Đồng micro 2/25","MHG","","","","","","","4.2605","","","","","","","","","4.2605","","","",""
"MHGG26","Đồng micro 2/26","MHG","","","","","","","5.898","","","","","","","","","5.898","","","",""
"MHGG27","Đồng micro 2/27","MHG","","","","","","","6.379","","","","","","","","","6.379","0.0005","","",""
"MHGH23","Đồng micro 3/23","MHG","","","","","","","3.948","","","","","","","","","3.952","","","",""
"MHGH24","Đồng micro 3/24","MHG","","","","","","","3.828","","","","","","","","","3.828","","","",""
"MHGH25","Đồng micro 3/25","MHG","","","","","","","4.54","","","","","","","","","4.54","","","",""
"MHGH26","Đồng micro 3/26","MHG","","","","","","","5.9855","","","","","","","","","5.9855","","","",""
"MHGH27","Đồng micro 3/27","MHG","","","","","","","6.3805","","","","","","","","","6.4085","","","",""
"MHGJ23","Đồng micro 4/23","MHG","","","","","","","4.0855","","","","","","","","","4.0855","","","",""
"MHGJ24","Đồng micro 4/24","MHG","","","","","","","3.9995","","","","","","","","","3.9995","0.0005","","",""
"MHGJ25","Đồng micro 4/25","MHG","","","","","","","5.0985","","","","","","","","","5.0985","","","",""
"MHGJ26","Đồng micro 4/26","MHG","","","","","","","5.46","","","","","","","","","5.4685","","","",""
"MHGJ27","Đồng micro 4/27","MHG","","","","","","","6.4365","","","","","","","","","6.4365","","","",""
"MHGK23","Đồng micro 5/23","MHG","","","","","","","3.8535","","","","","","","","","3.8535","","","",""
"MHGK24","Đồng micro 5/24","MHG","","","","","","","4.55","","","","","","","","","4.564","","","",""
"MHGK25","Đồng micro 5/25","MHG","","","","","","","4.8405","","","","","","","","","4.8405","","","",""
"MHGK26","Đồng micro 5/26","MHG","","","","","","","5.9175","","","","","","","","","5.9175","","","",""
"MHGK27","Đồng micro 5/27","MHG","","","","","","","6.463","","","","","","","","","6.463","","","",""
"MHGM23","Đồng micro 6/23","MHG","","","","","","","3.637","","","","","","","","","3.6755","","","",""
"MHGM24","Đồng micro 6/24","MHG","","","","","","","4.798","","","","","","","","","4.798","","","",""
"MHGM25","Đồng micro 6/25","MHG","","","","","","","4.6505","","","","","","","","","4.6505","","","",""
"MHGM26","Đồng micro 6/26","MHG","","","","","","","6.31","","","","","","","","","6.31","","","",""
"MHGM27","Đồng micro 6/27","MHG","","","","","","","6.49","","","","","","","","","6.49","","","",""
"MHGN23","Đồng micro 7/23","MHG","","","","","","","3.7225","","","","","","","","","3.7225","","","",""
"MHGN24","Đồng micro 7/24","MHG","","","","","","","4.37","","","","","","","","","4.37","","","",""
"MHGN25","Đồng micro 7/25","MHG","","","","","","","5.066","","","","","","","","","5.066","","","",""
"MHGN26","Đồng micro 7/26","MHG","","","","","","","6.1415","","","","","","","","","6.144","","","",""
"MHGQ23","Đồng micro 8/23","MHG","","","","","","","3.8655","","","","","","","","","3.8655","","","",""
"MHGQ24","Đồng micro 8/24","MHG","","","","","","","4.063","","","","","","","","","4.063","","","",""
"MHGQ25","Đồng micro 8/25","MHG","","","","","","","5.607","","","","","","","","","5.607","","","",""
"MHGQ26","Đồng micro 8/26","MHG","","","","","","","6.1855","","","","","","","","","6.202","","","",""
"MHGU23","Đồng micro 9/23","MHG","","","","","","","3.7945","","","","","","","","","3.7945","","","",""
"MHGU24","Đồng micro 9/24","MHG","","","","","","","4.1495","","","","","","","","","4.1495","","","",""
"MHGU25","Đồng micro 9/25","MHG","","","","","","","4.42","","","","","","","","","4.42","","","",""
"MHGU26","Đồng micro 9/26","MHG","","","","","","","6.215","","","","","","","","","6.232","","","",""
"MHGV23","Đồng micro 10/23","MHG","","","","","","","3.6185","","","","","","","","","3.6185","","","",""
"MHGV24","Đồng micro 10/24","MHG","","","","","","","4.5825","","","","","","","","","4.5825","","","",""
"MHGV25","Đồng micro 10/25","MHG","","","","","","","4.694","","","","","","","","","4.7185","","","",""
"MHGV26","Đồng micro 10/26","MHG","","","","","","","6.228","","","","","","","","","6.2615","","","",""
"MHGX23","Đồng micro 11/23","MHG","","","","","","","3.5965","","","","","","","","","3.6355","","","",""
"MHGX24","Đồng micro 11/24","MHG","","","","","","","4.336","","","","","","","","","4.336","","","",""
"MHGX25","Đồng micro 11/25","MHG","","","","","","","5.237","","","","","","","","","5.237","","","",""
"MHGX26","Đồng micro 11/26","MHG","","","","","","","6.262","","","","","","","","","6.292","","","",""
"MHGZ22","Đồng micro 12/22","MHG","","","","","","","3.6135","","","","","","","","","3.6115","","","",""
"MHGZ23","Đồng micro 12/23","MHG","","","","","","","3.8","","","","","","","","","3.8","","","",""
"MHGZ24","Đồng micro 12/24","MHG","","","","","","","4.049","","","","","","","","","4.049","","","",""
"MHGZ25","Đồng micro 12/25","MHG","","","","","","","5.003","","","","","","","","","5.003","","","",""
"MHGZ26","Đồng micro 12/26","MHG","","","","","","","6.3035","","","","","","","","","6.321","","","",""
"MPOF23","Dầu cọ thô 1/23","MPO","","","","","","","3820.0","","","","","","","","","3820.0","","","",""
"MPOF24","Dầu cọ thô 1/24","MPO","","","","","","","3750.0","","","","","","","","","3750.0","","","",""
"MPOF25","Dầu cọ thô 1/25","MPO","","","","","","","4675.0","","","","","","","","","4675.0","","","",""
"MPOF26","Dầu cọ thô 1/26","MPO","","","","","","","3950.0","","","","","","","","","3950.0","","","",""
"MPOF27","Dầu cọ thô 1/27","MPO","","","","","","","4683.0","","","","","","","","","4636.0","","","",""
"MPOG23","Dầu cọ thô 2/23","MPO","","","","","","","3884.0","","","","","","","","","3884.0","","","",""
"MPOG24","Dầu cọ thô 2/24","MPO","","","","","","","3995.0","","","","","","","","","3995.0","","","",""
"MPOG25","Dầu cọ thô 2/25","MPO","","","","","","","4725.0","","","","","","","","","4725.0","","","",""
"MPOG26","Dầu cọ thô 2/26","MPO","","","","","","","3950.0","","","","","","","","","3950.0","","","",""
"MPOG27","Dầu cọ thô 2/27","MPO","","","","","","","4692.0","","","","","","","","","4641.0","","","",""
"MPOH23","Dầu cọ thô 3/23","MPO","","","","","","","4103.0","","","","","","","","","4103.0","","","",""
"MPOH24","Dầu cọ thô 3/24","MPO","","","","","","","4327.0","","","","","","","","","4327.0","","","",""
"MPOH25","Dầu cọ thô 3/25","MPO","","","","","","","4730.0","","","","","","","","","4750.0","","","",""
"MPOH26","Dầu cọ thô 3/26","MPO","","","","","","","4525.0","","","","","","","","","4525.0","1","","",""
"MPOH27","Dầu cọ thô 3/27","MPO","","","","","","","4686.0","","","","","","","","","4636.0","","","",""
"MPOJ23","Dầu cọ thô 4/23","MPO","","","","","","","4100.0","","","","","","","","","4100.0","","","",""
"MPOJ24","Dầu cọ thô 4/24","MPO","","","","","","","4405.0","","","","","","","","","4405.0","","","",""
"MPOJ25","Dầu cọ thô 4/25","MPO","","","","","","","4320.0","","","","","","","","","4320.0","1","","",""
"MPOJ26","Dầu cọ thô 4/26","MPO","","","","","","","4359.0","","","","","","","","","4359.0","","","",""
"MPOJ27","Dầu cọ thô 4/27","MPO","","","","","","","4671.0","","","","","","","","","4620.0","","","",""
